,account_id,open_date,statement_frequency,district_name,num_customers,credit_cards,loan_amount,loan_payments,loan_term,loan_status,loan,loan_default,max_withdrawal,min_withdrawal,cc_payments,max_balance,min_balance
0,1,1995-03-24,monthly,Pisek,1,0,,,,,F,,7500,15,102,30415,1000
1,2,1993-02-26,monthly,Hl.m. Praha,2,0,80952.0,3373.0,24.0,A,T,F,42000,15,152,69302,1100
2,3,1997-07-07,monthly,Kolin,2,0,,,,,F,,7400,15,46,53447,1000
3,4,1996-02-21,monthly,Pribram,1,0,,,,,F,,5250,15,65,34870,800
4,5,1997-05-30,monthly,Cesky Krumlov,1,0,,,,,F,,5100,15,35,32036,600
5,6,1994-09-27,monthly,Trutnov,1,0,,,,,F,,11600,15,99,51879,900
6,7,1996-11-24,monthly,Prostejov,1,1,,,,,F,,25800,15,51,99675,900
7,8,1995-09-21,monthly,Hodonin,2,0,,,,,F,,40800,15,84,79255,900
8,9,1993-01-27,monthly,Karvina,1,0,,,,,F,,38100,15,183,85444,400
9,10,1996-08-28,monthly,Brno - mesto,1,0,,,,,F,,23840,15,59,83410,1100
10,11,1995-10-10,monthly,Sumperk,1,0,,,,,F,,6700,15,79,40389,300
11,12,1997-04-15,monthly,Tabor,2,0,,,,,F,,11000,15,39,29053,1100
12,13,1997-08-17,monthly,Sumperk,2,0,,,,,F,,7500,15,31,29751,1000
13,14,1996-11-27,monthly,Pardubice,1,1,,,,,F,,17200,15,52,59453,400
14,15,1993-10-02,monthly,Karvina,1,0,,,,,F,,46720,15,129,66671,800
15,16,1997-09-23,monthly,Pribram,1,0,,,,,F,,26300,15,32,60274,500
16,17,1997-01-08,monthly,Hl.m. Praha,2,0,,,,,F,,25500,15,33,100815,700
17,19,1995-04-07,monthly,Tabor,1,0,30276.0,2523.0,12.0,B,T,T,18500,1,152,58158,-10605
18,20,1996-08-24,monthly,Ostrava - mesto,1,0,,,,,F,,4950,15,53,20458,500
19,21,1997-12-06,monthly,Brno - mesto,1,0,,,,,F,,28000,15,34,61685,1100
20,22,1994-03-23,monthly,Hl.m. Praha,1,0,,,,,F,,27600,15,118,68160,1100
21,23,1993-05-22,monthly,Sokolov,1,0,,,,,F,,40480,15,137,95299,800
22,24,1996-12-05,monthly,Ostrava - mesto,1,0,,,,,F,,26800,15,52,49091,1000
23,25,1996-07-28,monthly,Frydek - Mistek,1,0,30276.0,2523.0,12.0,A,T,F,63300,15,82,134210,900
24,26,1993-08-08,monthly,Usti nad Orlici,1,0,,,,,F,,29100,15,133,83469,800
25,27,1993-09-26,monthly,Opava,1,0,,,,,F,,9500,15,135,40464,900
26,29,1994-11-24,monthly,Melnik,2,0,,,,,F,,18000,8,100,59950,700
27,30,1995-03-04,monthly,Liberec,1,0,,,,,F,,75600,15,130,149154,400
28,31,1994-04-27,monthly,Frydek - Mistek,1,0,,,,,F,,61700,15,164,137131,800
29,32,1995-08-28,monthly,Kolin,1,0,,,,,F,,21500,15,82,90565,700
30,33,1993-08-26,monthly,Domazlice,1,1,,,,,F,,63100,15,131,123696,600
31,35,1993-07-07,monthly,Prerov,1,0,,,,,F,,14950,15,127,32520,600
32,36,1993-07-01,monthly,Hl.m. Praha,1,0,,,,,F,,41120,15,134,85055,500
33,37,1997-08-18,monthly,Strakonice,1,0,318480.0,5308.0,60.0,D,T,T,43200,0,36,104762,-1011
34,39,1993-09-22,monthly,Liberec,1,0,,,,,F,,7300,15,124,36322,1100
35,40,1993-10-25,monthly,Zlin,1,0,,,,,F,,13000,15,133,41560,700
36,41,1997-08-02,monthly,Olomouc,1,0,,,,,F,,19000,15,36,100992,800
37,42,1996-08-16,monthly,Most,1,0,,,,,F,,11000,15,63,45322,800
38,43,1994-06-12,monthly,Liberec,1,1,,,,,F,,38560,15,112,99572,1100
39,44,1993-05-10,monthly,Ceska Lipa,1,0,,,,,F,,11350,15,131,29482,400
40,45,1997-09-02,monthly,Zlin,1,0,,,,,F,,15000,15,41,52970,300
41,47,1993-08-08,monthly,Jicin,1,0,,,,,F,,63300,9,133,108509,300
42,48,1996-11-17,monthly,Tabor,2,1,,,,,F,,25120,15,52,72803,700
43,49,1997-04-06,monthly,Hl.m. Praha,1,0,,,,,F,,3520,15,43,24004,300
44,50,1994-05-06,monthly,Hl.m. Praha,1,0,,,,,F,,23600,15,117,90088,900
45,51,1996-05-11,monthly,Bruntal,1,1,,,,,F,,26300,15,63,106203,800
46,52,1997-01-29,monthly,Jindrichuv Hradec,1,0,,,,,F,,42300,15,48,83077,900
47,53,1995-06-07,monthly,Vsetin,1,0,,,,,F,,3900,15,87,27519,700
48,54,1995-05-02,monthly,Kladno,1,0,,,,,F,,8070,15,89,29756,1000
49,55,1996-02-19,monthly,Strakonice,1,0,,,,,F,,4300,15,65,23445,300
50,56,1994-05-16,monthly,Svitavy,1,0,,,,,F,,29600,15,118,78757,900
51,57,1995-05-21,monthly,Hl.m. Praha,1,0,,,,,F,,25300,15,87,77726,700
52,58,1996-08-23,monthly,Rokycany,1,0,,,,,F,,14250,6,54,28954,-2204
53,59,1994-03-27,monthly,Hradec Kralove,1,0,,,,,F,,22880,15,123,89720,600
54,61,1993-12-11,monthly,Karvina,2,0,,,,,F,,5850,15,117,31765,700
55,62,1993-03-28,monthly,Pardubice,1,0,,,,,F,,7600,15,135,36366,1100
56,63,1996-11-16,monthly,Domazlice,2,0,,,,,F,,11650,15,47,37303,600
57,64,1997-03-11,monthly,Zlin,1,0,,,,,F,,32200,200,30,79559,200
58,65,1996-10-29,monthly,Liberec,1,1,,,,,F,,26800,15,53,85379,600
59,67,1994-10-19,monthly,Jindrichuv Hradec,1,0,165960.0,6915.0,24.0,A,T,F,61500,15,102,134939,700
60,69,1996-01-12,monthly,Zlin,1,0,,,,,F,,22800,15,123,71708,600
61,70,1995-02-18,monthly,Mlada Boleslav,2,0,,,,,F,,20320,15,101,60184,500
62,71,1994-03-05,monthly,Hl.m. Praha,2,1,,,,,F,,39520,15,118,94860,700
63,73,1993-11-08,monthly,Olomouc,1,1,,,,,F,,44160,15,128,89175,400
64,75,1995-08-13,monthly,Hl.m. Praha,1,0,,,,,F,,20300,15,82,49848,700
65,76,1996-05-16,monthly,Usti nad Orlici,1,0,,,,,F,,22400,15,73,49609,200
66,77,1996-11-19,monthly,Vyskov,1,0,,,,,F,,36200,15,52,56325,400
67,78,1993-07-07,monthly,Ostrava - mesto,1,0,,,,,F,,21100,15,137,78733,400
68,79,1996-11-29,monthly,Beroun,1,0,,,,,F,,3680,15,47,27474,600
69,80,1995-09-27,monthly,Hradec Kralove,2,0,,,,,F,,5250,15,75,28082,900
70,81,1996-07-18,monthly,Ostrava - mesto,1,0,,,,,F,,3800,15,74,39080,1000
71,82,1994-05-03,monthly,Plzen - mesto,1,0,,,,,F,,61100,15,144,161574,300
72,83,1993-04-16,monthly,Plzen - mesto,2,0,,,,,F,,14080,15,147,42435,500
73,85,1997-03-23,monthly,Frydek - Mistek,1,0,,,,,F,,7200,15,54,59467,400
74,86,1993-03-07,monthly,Brno - mesto,2,0,,,,,F,,8880,15,141,28700,800
75,88,1996-07-03,monthly,Tachov,1,0,,,,,F,,2550,15,61,27174,300
76,89,1997-09-25,monthly,Frydek - Mistek,1,0,,,,,F,,10200,15,33,39075,600
