"","account_id","open_date","statement_frequency","district_name","num_customers","credit_cards","loan_amount","loan_payments","loan_term","loan_status","loan","loan_default","max_withdrawal","min_withdrawal","id","date","type","amount","balance","bank","account","method","category","cc_payments","max_balance","min_balance"
"1",1,"1995-03-24","monthly","Pisek",1,0,NA,NA,NA,NA,"F",NA,7500,15,1,"1995-03-24","credit",1000,1000,"",NA,"cash","",102,30415,1000
"2",2,"1993-02-26","monthly","Hl.m. Praha",2,0,80952,3373,24,"A","T","F",42000,15,276,"1993-02-26","credit",1100,1100,"",NA,"cash","",152,69302,1100
"3",3,"1997-07-07","monthly","Kolin",2,0,NA,NA,NA,NA,"F",NA,7400,15,837,"1997-07-07","credit",1000,1000,"",NA,"cash","",46,53447,1000
"4",4,"1996-02-21","monthly","Pribram",1,0,NA,NA,NA,NA,"F",NA,5250,15,1017,"1996-02-21","credit",800,800,"",NA,"cash","",65,34870,800
"5",5,"1997-05-30","monthly","Cesky Krumlov",1,0,NA,NA,NA,NA,"F",NA,5100,15,1237,"1997-05-30","credit",600,600,"",NA,"cash","",35,32036,600
"6",6,"1994-09-27","monthly","Trutnov",1,0,NA,NA,NA,NA,"F",NA,11600,15,1356,"1994-09-27","credit",900,900,"",NA,"cash","",99,51879,900
"7",7,"1996-11-24","monthly","Prostejov",1,1,NA,NA,NA,NA,"F",NA,25800,15,1659,"1996-11-24","credit",900,900,"",NA,"cash","",51,99675,900
"8",8,"1995-09-21","monthly","Hodonin",2,0,NA,NA,NA,NA,"F",NA,40800,15,1850,"1995-09-21","credit",900,900,"",NA,"cash","",84,79255,900
"9",9,"1993-01-27","monthly","Karvina",1,0,NA,NA,NA,NA,"F",NA,38100,15,2176,"1993-01-27","credit",400,400,"",NA,"cash","",183,85444,400
"10",10,"1996-08-28","monthly","Brno - mesto",1,0,NA,NA,NA,NA,"F",NA,23840,15,2568,"1996-08-28","credit",1100,1100,"",NA,"cash","",59,83410,1100
"11",11,"1995-10-10","monthly","Sumperk",1,0,NA,NA,NA,NA,"F",NA,6700,15,2813,"1995-10-10","credit",300,300,"",NA,"cash","",79,40389,300
"12",12,"1997-04-15","monthly","Tabor",2,0,NA,NA,NA,NA,"F",NA,11000,15,3054,"1997-04-15","credit",1100,1100,"",NA,"cash","",39,29053,1100
"13",13,"1997-08-17","monthly","Sumperk",2,0,NA,NA,NA,NA,"F",NA,7500,15,3203,"1997-08-17","credit",1000,1000,"",NA,"cash","",31,29751,1000
"14",14,"1996-11-27","monthly","Pardubice",1,1,NA,NA,NA,NA,"F",NA,17200,15,3330,"1996-11-27","credit",400,400,"",NA,"cash","",52,59453,400
"15",15,"1993-10-02","monthly","Karvina",1,0,NA,NA,NA,NA,"F",NA,46720,15,3505,"1993-10-02","credit",800,800,"",NA,"cash","",129,66671,800
"16",16,"1997-09-23","monthly","Pribram",1,0,NA,NA,NA,NA,"F",NA,26300,15,3929,"1997-09-23","credit",500,500,"",NA,"cash","",32,60274,500
"17",17,"1997-01-08","monthly","Hl.m. Praha",2,0,NA,NA,NA,NA,"F",NA,25500,15,4032,"1997-01-08","credit",700,700,"",NA,"cash","",33,100815,700
"18",18,"1993-05-26","weekly","Hradec Kralove",1,0,NA,NA,NA,NA,"F",NA,70200,30,4152,"1993-05-26","credit",1100,1100,"",NA,"cash","",156,155603,576
"19",19,"1995-04-07","monthly","Tabor",1,0,30276,2523,12,"B","T","T",18500,1,4530,"1995-04-07","credit",1000,1000,"",NA,"cash","",152,58158,-10605
"20",20,"1996-08-24","monthly","Ostrava - mesto",1,0,NA,NA,NA,NA,"F",NA,4950,15,4892,"1996-08-24","credit",500,500,"",NA,"cash","",53,20458,500
"21",21,"1997-12-06","monthly","Brno - mesto",1,0,NA,NA,NA,NA,"F",NA,28000,15,5051,"1997-12-06","credit",1100,1100,"",NA,"cash","",34,61685,1100
"22",22,"1994-03-23","monthly","Hl.m. Praha",1,0,NA,NA,NA,NA,"F",NA,27600,15,5180,"1994-03-23","credit",1100,1100,"",NA,"cash","",118,68160,1100
"23",23,"1993-05-22","monthly","Sokolov",1,0,NA,NA,NA,NA,"F",NA,40480,15,5516,"1993-05-22","credit",800,800,"",NA,"cash","",137,95299,800
"24",24,"1996-12-05","monthly","Ostrava - mesto",1,0,NA,NA,NA,NA,"F",NA,26800,15,5919,"1996-12-05","credit",1000,1000,"",NA,"cash","",52,49091,1000
"25",25,"1996-07-28","monthly","Frydek - Mistek",1,0,30276,2523,12,"A","T","F",63300,15,6145,"1996-07-28","credit",900,900,"",NA,"cash","",82,134210,900
"26",26,"1993-08-08","monthly","Usti nad Orlici",1,0,NA,NA,NA,NA,"F",NA,29100,15,6517,"1993-08-08","credit",800,800,"",NA,"cash","",133,83469,800
"27",27,"1993-09-26","monthly","Opava",1,0,NA,NA,NA,NA,"F",NA,9500,15,6955,"1993-09-26","credit",900,900,"",NA,"cash","",135,40464,900
"28",29,"1994-11-24","monthly","Melnik",2,0,NA,NA,NA,NA,"F",NA,18000,8,7730,"1994-11-24","credit",700,700,"",NA,"cash","",100,59950,700
"29",30,"1995-03-04","monthly","Liberec",1,0,NA,NA,NA,NA,"F",NA,75600,15,8193,"1995-03-04","credit",400,400,"",NA,"cash","",130,149154,400
"30",31,"1994-04-27","monthly","Frydek - Mistek",1,0,NA,NA,NA,NA,"F",NA,61700,15,8563,"1994-04-27","credit",800,800,"",NA,"cash","",164,137131,800
"31",32,"1995-08-28","monthly","Kolin",1,0,NA,NA,NA,NA,"F",NA,21500,15,9009,"1995-08-28","credit",700,700,"",NA,"cash","",82,90565,700
"32",33,"1993-08-26","monthly","Domazlice",1,1,NA,NA,NA,NA,"F",NA,63100,15,9220,"1993-08-26","credit",600,600,"",NA,"cash","",131,123696,600
"33",34,"1993-09-17","weekly","Bruntal",1,1,NA,NA,NA,NA,"F",NA,36300,30,9606,"1993-09-17","credit",600,600,"",NA,"cash","",127,94580,600
"34",35,"1993-07-07","monthly","Prerov",1,0,NA,NA,NA,NA,"F",NA,14950,15,10154,"1993-07-07","credit",600,600,"",NA,"cash","",127,32520,600
"35",36,"1993-07-01","monthly","Hl.m. Praha",1,0,NA,NA,NA,NA,"F",NA,41120,15,10612,"1993-07-01","credit",500,500,"",NA,"cash","",134,85055,500
"36",37,"1997-08-18","monthly","Strakonice",1,0,318480,5308,60,"D","T","T",43200,0,11043,"1997-08-18","credit",900,900,"",NA,"cash","",36,104762,-1011
"37",38,"1997-08-08","weekly","Prachatice",1,0,110736,2307,48,"C","T","F",16800,30,11261,"1997-08-08","credit",1100,14941,"",NA,"cash","",48,55991,13841
"38",39,"1993-09-22","monthly","Liberec",1,0,NA,NA,NA,NA,"F",NA,7300,15,11479,"1993-09-22","credit",1100,1100,"",NA,"cash","",124,36322,1100
"39",40,"1993-10-25","monthly","Zlin",1,0,NA,NA,NA,NA,"F",NA,13000,15,11948,"1993-10-25","credit",700,700,"",NA,"cash","",133,41560,700
"40",41,"1997-08-02","monthly","Olomouc",1,0,NA,NA,NA,NA,"F",NA,19000,15,12413,"1997-08-02","credit",800,800,"",NA,"cash","",36,100992,800
"41",42,"1996-08-16","monthly","Most",1,0,NA,NA,NA,NA,"F",NA,11000,15,12510,"1996-08-16","credit",800,800,"",NA,"cash","",63,45322,800
"42",43,"1994-06-12","monthly","Liberec",1,1,NA,NA,NA,NA,"F",NA,38560,15,12786,"1994-06-12","credit",1100,1100,"",NA,"cash","",112,99572,1100
"43",44,"1993-05-10","monthly","Ceska Lipa",1,0,NA,NA,NA,NA,"F",NA,11350,15,13144,"1993-05-10","credit",400,400,"",NA,"cash","",131,29482,400
"44",45,"1997-09-02","monthly","Zlin",1,0,NA,NA,NA,NA,"F",NA,15000,15,13513,"1997-09-02","credit",300,300,"",NA,"cash","",41,52970,300
"45",47,"1993-08-08","monthly","Jicin",1,0,NA,NA,NA,NA,"F",NA,63300,9,13882,"1993-08-08","credit",300,300,"",NA,"cash","",133,108509,300
